Code;Parent;NUTS-Code;Description
9560;9460.0;HR05;Grad Zagreb
9580;9460.0;HR06;Sjeverna Hrvatska
9640;9460.0;HR02;Panonska Hrvatska
9740;9730.0;HRZZ;Extra-Regio NUTS 2
9770;9760.0;ITC1;Piemonte
9860;9760.0;ITC2;Valle d’Aosta/Vallée d’Aoste
9880;9760.0;ITC3;Liguria
9930;9760.0;ITC4;Lombardia
10070;10060.0;ITF1;Abruzzo
10120;10060.0;ITF2;Molise
10150;10060.0;ITF3;Campania
10210;10060.0;ITF4;Puglia
10280;10060.0;ITF5;Basilicata
10310;10060.0;ITF6;Calabria
10380;10370.0;ITG1;Sicilia
10480;10370.0;ITG2;Sardegna
10550;10540.0;ITH1;Provincia Autonoma di Bolzano/Bozen
10570;10540.0;ITH2;Provincia Autonoma di Trento
10590;10540.0;ITH3;Veneto
10670;10540.0;ITH4;Friuli-Venezia Giulia
10720;10540.0;ITH5;Emilia-Romagna
10830;10820.0;ITI1;Toscana
10940;10820.0;ITI2;Umbria
10970;10820.0;ITI3;Marche
11030;10820.0;ITI4;Lazio
11100;11090.0;ITZZ;Extra-Regio NUTS 2
11140;11130.0;CY00;Κύπρος (Kypros)
11170;11160.0;CYZZ;Extra-Regio NUTS 2
11210;11200.0;LV00;Latvija
11290;11280.0;LVZZ;Extra-Regio NUTS 2
11330;11320.0;LT01;Sostinės regionas
11350;11320.0;LT02;Vidurio ir vakarų Lietuvos regionas
11460;11450.0;LTZZ;Extra-Regio NUTS 2
11500;11490.0;LU00;Luxembourg
11530;11520.0;LUZZ;Extra-Regio NUTS 2
11570;11560.0;HU11;Budapest
11590;11560.0;HU12;Pest
11620;11610.0;HU21;Közép-Dunántúl
11660;11610.0;HU22;Nyugat-Dunántúl
11700;11610.0;HU23;Dél-Dunántúl
11750;11740.0;HU31;Észak-Magyarország
11790;11740.0;HU32;Észak-Alföld
11830;11740.0;HU33;Dél-Alföld
11880;11870.0;HUZZ;Extra-Regio NUTS 2
11920;11910.0;MT00;Malta
11960;11950.0;MTZZ;Extra-Regio NUTS 2
12000;11990.0;NL11;Groningen
12040;11990.0;NL12;Friesland (NL)
12080;11990.0;NL13;Drenthe
12130;12120.0;NL21;Overijssel
12170;12120.0;NL22;Gelderland
12220;12120.0;NL23;Flevoland
12250;12240.0;NL31;Utrecht
12270;12240.0;NL32;Noord-Holland
12350;12240.0;NL33;Zuid-Holland
12420;12240.0;NL34;Zeeland
12460;12450.0;NL41;Noord-Brabant
12510;12450.0;NL42;Limburg (NL)
12560;12550.0;NLZZ;Extra-Regio NUTS 2
12600;12590.0;AT11;Burgenland
12640;12590.0;AT12;Niederösterreich
12720;12590.0;AT13;Wien
12750;12740.0;AT21;Kärnten
12790;12740.0;AT22;Steiermark
12870;12860.0;AT31;Oberösterreich
12930;12860.0;AT32;Salzburg
12970;12860.0;AT33;Tirol
13030;12860.0;AT34;Vorarlberg
13070;13060.0;ATZZ;Extra-Regio NUTS 2
13110;13100.0;PL21;Małopolskie
13180;13100.0;PL22;Śląskie
13280;13270.0;PL41;Wielkopolskie
13350;13270.0;PL42;Zachodniopomorskie
13400;13270.0;PL43;Lubuskie
13440;13430.0;PL51;Dolnośląskie
13500;13430.0;PL52;Opolskie
13540;13530.0;PL61;Kujawsko-pomorskie
13600;13530.0;PL62;Warmińsko-mazurskie
13640;13530.0;PL63;Pomorskie
13710;13700.0;PL71;Łódzkie
13780;13700.0;PL72;Świętokrzyskie
13820;13810.0;PL81;Lubelskie
13870;13810.0;PL82;Podkarpackie
13920;13810.0;PL84;Podlaskie
13970;13960.0;PL91;Warszawski stołeczny
14010;13960.0;PL92;Mazowiecki regionalny
14090;14080.0;PLZZ;Extra-Regio NUTS 2
14130;14120.0;PT11;Norte
14220;14120.0;PT15;Algarve
14240;14120.0;PT16;Centro (PT)
14330;14120.0;PT17;Área Metropolitana de Lisboa
14350;14120.0;PT18;Alentejo
14420;14410.0;PT20;Região Autónoma dos Açores
14450;14440.0;PT30;Região Autónoma da Madeira
14480;14470.0;PTZZ;Extra-Regio NUTS 2
14520;14510.0;RO11;Nord-Vest
14590;14510.0;RO12;Centru
14670;14660.0;RO21;Nord-Est
14740;14660.0;RO22;Sud-Est
14820;14810.0;RO31;Sud-Muntenia
14900;14810.0;RO32;Bucureşti-Ilfov
14940;14930.0;RO41;Sud-Vest Oltenia
15000;14930.0;RO42;Vest
15060;15050.0;ROZZ;Extra-Regio NUTS 2
15100;15090.0;SI03;Vzhodna Slovenija
15190;15090.0;SI04;Zahodna Slovenija
15250;15240.0;SIZZ;Extra-Regio NUTS 2
15290;15280.0;SK01;Bratislavský kraj
15310;15280.0;SK02;Západné Slovensko
15350;15280.0;SK03;Stredné Slovensko
15380;15280.0;SK04;Východné Slovensko
15420;15410.0;SKZZ;Extra-Regio NUTS 2
15460;15450.0;FI19;Länsi-Suomi
15520;15450.0;FI1B;Helsinki-Uusimaa
15540;15450.0;FI1C;Etelä-Suomi
15600;15450.0;FI1D;Pohjois- ja Itä-Suomi
15690;15680.0;FI20;Åland
15720;15710.0;FIZZ;Extra-Regio NUTS 2
15760;15750.0;SE11;Stockholm
15780;15750.0;SE12;Östra Mellansverige
15850;15840.0;SE21;Småland med öarna
15900;15840.0;SE22;Sydsverige
15930;15840.0;SE23;Västsverige
15970;15960.0;SE31;Norra Mellansverige
16010;15960.0;SE32;Mellersta Norrland
16040;15960.0;SE33;Övre Norrland
16080;16070.0;SEZZ;Extra-Regio NUTS 2
16120;16110.0;UKC1;Tees Valley and Durham
16170;16110.0;UKC2;Northumberland and Tyne and Wear
16220;16210.0;UKD1;Cumbria
16250;16210.0;UKD3;Greater Manchester
16310;16210.0;UKD4;Lancashire
16380;16210.0;UKD6;Cheshire
16420;16210.0;UKD7;Merseyside
16480;16470.0;UKE1;East Yorkshire and Northern Lincolnshire
16520;16470.0;UKE2;North Yorkshire
16550;16470.0;UKE3;South Yorkshire
16580;16470.0;UKE4;West Yorkshire
16640;16630.0;UKF1;Derbyshire and Nottinghamshire
16710;16630.0;UKF2;Leicestershire, Rutland and Northamptonshire
