Code;Parent;NUTS-Code;Description
19330;19320.0;ME0;Црна Гора (Crna Gora)
19360;19320.0;MEZ;Extra-Regio NUTS 1
19400;19390.0;MK0;Северна Македонија (Severna Makedonija)
19500;19390.0;MKZ;Extra-Regio NUTS 1
19540;19530.0;AL0;Shqipëria
19700;19530.0;ALZ;Extra-Regio NUTS 1
19740;19730.0;RS1;Србија - север (Serbia - Sever)
19850;19730.0;RS2;Србија - jуг (Serbia - jug)
20050;19730.0;RSZ;Extra-Regio NUTS 1
20090;20080.0;TR1;İstanbul
20120;20080.0;TR2;Batı Marmara
20200;20080.0;TR3;Ege
20320;20080.0;TR4;Doğu Marmara
20430;20080.0;TR5;Batı Anadolu
20490;20080.0;TR6;Akdeniz
20610;20080.0;TR7;Orta Anadolu
20720;20080.0;TR8;Batı Karadeniz
20860;20080.0;TR9;Doğu Karadeniz
20940;20080.0;TRA;Kuzeydoğu Anadolu
21040;20080.0;TRB;Ortadoğu Anadolu
21150;20080.0;TRC;Güneydoğu Anadolu
21280;20080.0;TRZ;Extra-Regio NUTS 1
